Date,Home/Away,Opp,Win Prob,W/L,Rockies Runs,Opponent Runs,Rockies Pitcher,Opponent Pitcher
3/30/2023,at,SDP,0.327,W,7,2,Germán Márquez,Blake Snell
3/31/2023,at,SDP,0.32,W,4,1,Kyle Freeland,Nick Martinez
4/1/2023,at,SDP,0.331,W,4,8,José Ureña,Michael Wacha
4/2/2023,at,SDP,0.333,W,1,3,Austin Gomber,Seth Lugo
4/3/2023,at,LAD,0.357,W,4,13,Ryan Feltner,Michael Grove
4/4/2023,at,LAD,0.337,W,2,5,Germán Márquez,Julio Urías
4/6/2023,vs,WSN,0.533,W,1,0,Kyle Freeland,Josiah Gray
4/7/2023,vs,WSN,0.455,W,5,10,José Ureña,MacKenzie Gore
4/8/2023,vs,WSN,0.535,W,6,7,Austin Gomber,Trevor Williams
4/9/2023,vs,WSN,0.534,W,7,6,Ryan Feltner,Chad Kuhl
4/10/2023,vs,STW,0.451,W,7,4,Germán Márquez,Steven Matz
4/11/2023,vs,STW,0.408,W,6,9,Kyle Freeland,Miles Mikolas
4/12/2023,vs,STW,0.357,W,4,7,José Ureña,Jack Flaherty
4/14/2023,at,SEA,0.404,W,3,5,Austin Gomber,Tommy Milone
4/15/2023,at,SEA,0.335,W,2,9,Ryan Feltner,George Kirby
4/16/2023,at,SEA,0.264,W,0,1,Noah Davis,Luis Castillo
4/17/2023,vs,PIT,0.525,W,3,14,Kyle Freeland,Rich Hill
4/18/2023,vs,PIT,0.477,W,3,5,José Ureña,Vince Velasquez
4/19/2023,vs,PIT,0.473,W,3,14,Austin Gomber,Johan Oviedo
4/20/2023,at,PHI,0.35,W,5,0,Ryan Feltner,Matt Strahm
4/21/2023,at,PHI,0.273,W,3,4,Noah Davis,Aaron Nola
4/22/2023,at,PHI,0.356,W,3,4,Kyle Freeland,Cristopher Sánchez
4/23/2023,at,PHI,0.24,W,3,9,José Ureña,Zack Wheeler
4/24/2023,at,CLE,0.372,W,6,0,Austin Gomber,Cal Quantrill
4/25/2023,at,CLE,0.382,W,5,1,Ryan Feltner,Peyton Battenfield
4/26/2023,at,CLE,0.387,W,1,4,Germán Márquez,Tanner Bibee
4/28/2023,vs,ARI,0.457,W,1,9,Kyle Freeland,Merrill Kelly
4/29/2023,vs,ARI,0.467,W,4,11,Noah Davis,Tommy Henry
4/30/2023,vs,ARI,0.466,W,12,4,Austin Gomber,Ryne Nelson
5/2/2023,vs,MIW,0.406,W,3,2,Ryan Feltner,Freddy Peralta
5/3/2023,vs,MIW,0.48,W,7,1,Kyle Freeland,Eric Lauer
5/4/2023,vs,MIW,0.47,W,9,6,Connor Seabold,Wade Miley
5/5/2023,at,NYM,0.295,W,0,1,Antonio Senzatela,Kodai Senga
5/6/2023,at,NYM,0.35,W,5,2,Austin Gomber,Tylor Megill
5/7/2023,at,NYM,0.356,W,13,6,Ryan Feltner,Joey Lucchesi
5/8/2023,at,PIT,0.382,W,0,2,Kyle Freeland,Mitch Keller
5/9/2023,at,PIT,0.386,W,10,1,Connor Seabold,Luis L. Ortiz
5/10/2023,at,PIT,0.432,W,4,3,Antonio Senzatela,Rich Hill
5/12/2023,vs,PHI,0.467,W,3,6,Austin Gomber,Taijuan Walker
5/13/2023,vs,PHI,0.449,W,4,7,Ryan Feltner,Ranger Suárez
5/14/2023,vs,PHI,0.381,W,4,0,Kyle Freeland,Aaron Nola
5/15/2023,vs,CIN,0.43,W,9,8,Connor Seabold,Hunter Greene
5/16/2023,vs,CIN,0.466,W,1,3,Chase Anderson,Brandon Williamson
5/17/2023,vs,CIN,0.514,W,11,6,Austin Gomber,Graham Ashcraft
5/19/2023,at,TEX,0.474,W,2,7,Karl Kauffmann,Martín Pérez
5/20/2023,at,TEX,0.374,W,5,11,Kyle Freeland,Jon Gray
5/21/2023,at,TEX,0.337,W,3,13,Connor Seabold,Andrew Heaney
5/22/2023,vs,MIA,0.428,W,5,3,Chase Anderson,Edward Cabrera
5/23/2023,vs,MIA,0.445,W,5,4,Austin Gomber,Eury Pérez
5/24/2023,vs,MIA,0.384,W,2,10,Karl Kauffmann,Sandy Alcantara
5/25/2023,vs,MIA,0.475,W,7,6,Kyle Freeland,Braxton Garrett
5/26/2023,vs,NYM,0.372,W,2,5,Connor Seabold,Max Scherzer
5/27/2023,vs,NYM,0.336,W,10,7,Chase Anderson,Justin Verlander
5/28/2023,vs,NYM,0.436,W,11,10,Austin Gomber,Tylor Megill
5/29/2023,at,ARI,0.348,W,5,7,Karl Kauffmann,Ryne Nelson
5/30/2023,at,ARI,0.308,W,1,5,Kyle Freeland,Zac Gallen
5/31/2023,at,ARI,0.423,W,0,6,Dinelson Lamet,Tommy Henry
6/1/2023,at,ARI,0.4,W,4,5,Connor Seabold,Zach Davies$.inputW,
6/2/2023,at,KCR,0.417,W,7,2,Chase Anderson,Jordan Lyles
6/3/2023,at,KCR,0.394,W,6,4,Austin Gomber,Daniel Lynch
6/4/2023,at,KCR,0.36,W,0,2,Kyle Freeland,Brady Singer
6/6/2023,vs,SFG,0.445,W,4,10,Dinelson Lamet,John Brebbia
6/7/2023,vs,SFG,0.373,W,4,5,Connor Seabold,Logan Webb
6/8/2023,vs,SFG,0.352,W,4,6,Chase Anderson,Alex Cobb
6/9/2023,vs,SDP,0.364,W,6,9,Austin Gomber,Yu Darvish
6/10/2023,vs,SDP,0.441,W,2,3,Kyle Freeland,Ryan Weathers
6/11/2023,vs,SDP,0.414,W,5,4,Dinelson Lamet,Blake Snell
6/12/2023,at,BOS,0.344,W,4,3,Connor Seabold,James Paxton
6/13/2023,at,BOS,0.336,W,7,6,Chase Anderson,Kutter Crawford
6/14/2023,at,BOS,0.324,W,3,6,Austin Gomber,Garrett Whitlock
6/15/2023,at,ATW,0.339,W,3,8,Kyle Freeland,AJ Smith-Shawver
6/16/2023,at,ATW,0.377,W,1,8,Dinelson Lamet,Jared Shuster
6/17/2023,at,ATW,0.304,W,2,10,Connor Seabold,Bryce Elder
6/18/2023,at,ATW,0.243,W,6,14,Chase Anderson,Charlie Morton
6/19/2023,at,CIN,0.469,W,4,5,Austin Gomber,Brandon Williamson
6/20/2023,at,CIN,0.396,W,6,8,Noah Davis,Ben Lively
6/21/2023,at,CIN,0.459,W,3,5,Jake Bird,Andrew Abbott
6/23/2023,vs,LAA,0.42,W,7,4,Kyle Freeland,Patrick Sandoval
6/24/2023,vs,LAA,0.414,W,1,25,Chase Anderson,Griffin Canning
6/25/2023,vs,LAA,0.447,W,4,3,Austin Gomber,Tyler Anderson
6/27/2023,vs,LAD,0.347,W,0,5,Connor Seabold,Clayton Kershaw
6/28/2023,vs,LAD,0.45,W,9,8,Kyle Freeland,Michael Grove
